Population,Sample,Mut,Severity,col,row
GWD,12,12,12,1,1
YRI,19,19,19,1,2
ITU,17,17,17,1,3
CDX,5,5,5,1,4
CDX,5,5,5,1,5
CDX,5,5,5,1,6
YRI,19,19,19,1,7
TSI,25,25,25,1,8
ITU,17,17,17,1,9
IBS,7,7,7,1,10
PJL,9,9,9,1,11
ACB,11,11,11,1,12
CLM,6,6,6,1,13
TSI,25,25,25,1,14
ESN,13,13,13,1,15
ACB,11,11,11,1,16
ACB,11,11,11,1,17
ESN,13,13,13,1,18
LWK,22,22,22,1,19
ACB,11,11,11,1,20
CEU,18,18,18,1,21
FIN,2,2,2,1,22
CEU,18,18,18,1,23
CEU,18,18,18,1,24
CEU,18,18,18,1,25
GBR,1,1,1,1,26
GBR,1,1,1,1,27
GBR,1,1,1,1,28
PUR,4,4,4,1,29
PUR,4,4,4,1,30
GBR,1,1,1,1,31
GBR,1,1,1,1,32
GBR,1,1,1,1,33
IBS,7,7,7,1,34
TSI,25,25,25,1,35
MXL,24,24,24,1,36
KHV,10,10,10,1,37
IBS,7,7,7,1,38
FIN,2,2,2,1,39
CHS,3,3,3,1,40
FIN,2,2,2,1,41
CEU,18,18,18,1,42
CEU,18,18,18,1,43
PUR,4,4,4,1,44
TSI,25,25,25,1,45
CEU,18,18,18,1,46
TSI,25,25,25,1,47
CEU,18,18,18,1,48
IBS,7,7,7,1,49
IBS,7,7,7,1,50
CEU,18,18,18,1,51
CDX,5,5,5,1,52
CDX,5,5,5,1,53
CHS,3,3,3,1,54
CHS,3,3,3,1,55
JPT,21,21,21,1,56
JPT,21,21,21,1,57
JPT,21,21,21,1,58
PJL,9,9,9,1,59
TSI,25,25,25,1,60
KHV,10,10,10,1,61
CDX,5,5,5,1,62
CDX,5,5,5,1,63
CDX,5,5,5,1,64
KHV,10,10,10,1,65
KHV,10,10,10,1,66
CDX,5,5,5,1,67
KHV,10,10,10,1,68
KHV,10,10,10,1,69
KHV,10,10,10,1,70
KHV,10,10,10,1,71
KHV,10,10,10,1,72
KHV,10,10,10,1,73
KHV,10,10,10,1,74
KHV,10,10,10,1,75
KHV,10,10,10,1,76
KHV,10,10,10,1,77
KHV,10,10,10,1,78
KHV,10,10,10,1,79
KHV,10,10,10,1,80
CDX,5,5,5,1,81
CDX,5,5,5,1,82
CDX,5,5,5,1,83
CDX,5,5,5,1,84
CDX,5,5,5,1,85
CDX,5,5,5,1,86
CDX,5,5,5,1,87
CDX,5,5,5,1,88
CHS,3,3,3,1,89
CHS,3,3,3,1,90
CHS,3,3,3,1,91
CHS,3,3,3,1,92
CHS,3,3,3,1,93
CHS,3,3,3,1,94
CHS,3,3,3,1,95
CHS,3,3,3,1,96
KHV,10,10,10,1,97
KHV,10,10,10,1,98
KHV,10,10,10,1,99
KHV,10,10,10,1,100
KHV,10,10,10,1,101
KHV,10,10,10,1,102
KHV,10,10,10,1,103
CDX,5,5,5,1,104
JPT,21,21,21,1,105
CHB,20,20,20,1,106
CHB,20,20,20,1,107
CHB,20,20,20,1,108
CHB,20,20,20,1,109
JPT,21,21,21,1,110
JPT,21,21,21,1,111
CHB,20,20,20,1,112
JPT,21,21,21,1,113
MXL,24,24,24,1,114
IBS,7,7,7,1,115
GBR,1,1,1,1,116
MSL,15,15,15,1,117
GWD,12,12,12,1,118
YRI,19,19,19,1,119
YRI,19,19,19,1,120
ESN,13,13,13,1,121
ESN,13,13,13,1,122
YRI,19,19,19,1,123
CDX,5,5,5,1,124
KHV,10,10,10,1,125
MSL,15,15,15,1,126
MSL,15,15,15,1,127
PUR,4,4,4,1,128
FIN,2,2,2,1,129
CDX,5,5,5,1,130
YRI,19,19,19,1,131
FIN,2,2,2,1,132
FIN,2,2,2,1,133
IBS,7,7,7,1,134
IBS,7,7,7,1,135
IBS,7,7,7,1,136
GBR,1,1,1,1,137
CEU,18,18,18,1,138
CEU,18,18,18,1,139
CEU,18,18,18,1,140
MXL,24,24,24,1,141
BEB,14,14,14,1,142
STU,16,16,16,1,143
CHS,3,3,3,1,144
CDX,5,5,5,1,145
CDX,5,5,5,1,146
ACB,11,11,11,1,147
KHV,10,10,10,1,148
PUR,4,4,4,1,149
PUR,4,4,4,1,150
IBS,7,7,7,1,151
GBR,1,1,1,1,152
PJL,9,9,9,1,153
CHS,3,3,3,1,154
LWK,22,22,22,1,155
LWK,22,22,22,1,156
YRI,19,19,19,1,157
MSL,15,15,15,1,158
MSL,15,15,15,1,159
LWK,22,22,22,1,160
FIN,2,2,2,1,161
CEU,18,18,18,1,162
CEU,18,18,18,1,163
GWD,12,12,12,1,164
ESN,13,13,13,1,165
MSL,15,15,15,1,166
MSL,15,15,15,1,167
ESN,13,13,13,1,168
YRI,19,19,19,1,169
TSI,25,25,25,1,170
PJL,9,9,9,1,171
CHB,20,20,20,1,172
ACB,11,11,11,1,173
ACB,11,11,11,1,174
GWD,12,12,12,1,175
CLM,6,6,6,1,176
ASW,23,23,23,1,177
ASW,23,23,23,1,178
ESN,13,13,13,1,179
ASW,23,23,23,1,180
FIN,2,2,2,1,181
FIN,2,2,2,1,182
IBS,7,7,7,1,183
CLM,6,6,6,1,184
IBS,7,7,7,1,185
PJL,9,9,9,1,186
CHB,20,20,20,1,187
JPT,21,21,21,1,188
CLM,6,6,6,1,189
MXL,24,24,24,1,190
PEL,8,8,8,1,191
PEL,8,8,8,1,192
PEL,8,8,8,1,193
CDX,5,5,5,1,194
CHB,20,20,20,1,195
PEL,8,8,8,1,196
KHV,10,10,10,1,197
PUR,4,4,4,1,198
PUR,4,4,4,1,199
PUR,4,4,4,1,200
PUR,4,4,4,1,201
PUR,4,4,4,1,202
PUR,4,4,4,1,203
PUR,4,4,4,1,204
PEL,8,8,8,1,205
PEL,8,8,8,1,206
CLM,6,6,6,1,207
PEL,8,8,8,1,208
PEL,8,8,8,1,209
PEL,8,8,8,1,210
PEL,8,8,8,1,211
PEL,8,8,8,1,212
PEL,8,8,8,1,213
PEL,8,8,8,1,214
PEL,8,8,8,1,215
PEL,8,8,8,1,216
PEL,8,8,8,1,217
PEL,8,8,8,1,218
PEL,8,8,8,1,219
PEL,8,8,8,1,220
PEL,8,8,8,1,221
PEL,8,8,8,1,222
PEL,8,8,8,1,223
PEL,8,8,8,1,224
PEL,8,8,8,1,225
PEL,8,8,8,1,226
PEL,8,8,8,1,227
PEL,8,8,8,1,228
PEL,8,8,8,1,229
PEL,8,8,8,1,230
PEL,8,8,8,1,231
PEL,8,8,8,1,232
PEL,8,8,8,1,233
PEL,8,8,8,1,234
PEL,8,8,8,1,235
PEL,8,8,8,1,236
KHV,10,10,10,1,237
PEL,8,8,8,1,238
PEL,8,8,8,1,239
PEL,8,8,8,1,240
PEL,8,8,8,1,241
KHV,10,10,10,1,242
CLM,6,6,6,1,243
CLM,6,6,6,1,244
CLM,6,6,6,1,245
CLM,6,6,6,1,246
CLM,6,6,6,1,247
CLM,6,6,6,1,248
CLM,6,6,6,1,249
CLM,6,6,6,1,250
CLM,6,6,6,1,251
CLM,6,6,6,1,252
CLM,6,6,6,1,253
CLM,6,6,6,1,254
CHS,3,3,3,1,255
CHS,3,3,3,1,256
CLM,6,6,6,1,257
CDX,5,5,5,1,258
CLM,6,6,6,1,259
CLM,6,6,6,1,260
CLM,6,6,6,1,261
CLM,6,6,6,1,262
CLM,6,6,6,1,263
CLM,6,6,6,1,264
CLM,6,6,6,1,265
CLM,6,6,6,1,266
CLM,6,6,6,1,267
PEL,8,8,8,1,268
CLM,6,6,6,1,269
CLM,6,6,6,1,270
CLM,6,6,6,1,271
CLM,6,6,6,1,272
CLM,6,6,6,1,273
CLM,6,6,6,1,274
CLM,6,6,6,1,275
CLM,6,6,6,1,276
CLM,6,6,6,1,277
JPT,21,21,21,1,278
CHB,20,20,20,1,279
CHB,20,20,20,1,280
JPT,21,21,21,1,281
MXL,24,24,24,1,282
MXL,24,24,24,1,283
MXL,24,24,24,1,284
MXL,24,24,24,1,285
MXL,24,24,24,1,286
MXL,24,24,24,1,287
MXL,24,24,24,1,288
MXL,24,24,24,1,289
MXL,24,24,24,1,290
MXL,24,24,24,1,291
